  492 detector / GWA
    n  xForwardCoefficients_det   yForwardCoefficients_det   xBackwardCoefficients_det  yBackwardCoefficients_det
    0  1.383180726767937e-001  3.646853129026078e-001  2.152475681084888e+003  5.551712504173836e+003
    1 -2.857372152743923e-006 -6.974200091355680e-005 -1.018513941814475e+003 -1.338060516685203e+004
    2  2.764199642698128e-010  1.403600726582970e-009  9.006638651252533e+003 -2.301474937065225e+004
    3 -7.731384765702332e-015 -7.872905892313141e-014 -3.467800447181412e+004  8.947258764483013e+004
    4 -1.341666920023747e-017  2.834937926443031e-017  6.349736463338902e+004 -1.453446905746374e+005
    5  3.484586637521075e-021 -7.288037274826641e-021 -4.457905424867991e+004  9.369850848862778e+004
    6 -6.562404300360554e-005 -1.273388972517386e-006 -1.613906138447179e+004 -1.111488806660823e+002
    7  1.137343159643840e-009  1.990594566303644e-010 -3.459487641994013e+003  7.140685195894311e+002
    8 -9.968904371568027e-014  4.376754781071972e-014  2.724409439243318e+004 -4.649885482059640e+003
    9  8.972270077954959e-018 -4.602676569626145e-018 -4.948570442553556e+004  1.241582352247149e+004
   10 -2.610102036449172e-021  8.602263220671625e-022  3.780202222791447e+004 -1.144416798763963e+004
   11  4.932393828734280e-010  3.165760927134142e-010 -1.476318680716531e+002 -1.018127115842060e+003
   12  1.054416084485370e-014 -2.219858860461439e-014  4.676090621605769e+002  1.366105033006576e+004
   13 -4.418294825311400e-019 -1.409241823621230e-017  1.370306589032881e+003 -2.463320526808902e+004
   14  3.546351950663097e-022  2.083785087071171e-022 -3.798621114722611e+003  1.473506219968173e+004
   15 -4.664630052594222e-014  2.343669624910381e-014  9.000398458956250e+003  1.510965277870319e+002
   16 -3.010771027110155e-018 -8.913211928659571e-018 -1.350705325715278e+004  9.284563999740676e+002
   17 -3.100969328497214e-022  1.150084207052225e-021  7.244980885560606e+003 -4.513209090325607e+003
   18 -1.007474856209859e-017 -2.012262841182307e-018 -4.203270405204637e+003 -2.225916971008136e+003
   19  2.745773287172450e-022  5.787434512405082e-022  8.430367752946593e+003 -4.333065578373561e+003
   20  8.526692997653127e-022 -6.984557175280451e-023 -1.349090991711198e+004  3.520575260120449e+003
