  CLEAR:  GWA_OTE
    n  xForwardCoefficients_ote   yForwardCoefficients_ote   xBackwardCoefficients_ote  yBackwardCoefficients_ote
    0  2.245208949153468e-002 -1.074999523814333e-001  1.877865997580390e-001 -1.600768289402753e-001
    1 -2.219606738953402e-001 -2.930561464268426e-001  1.454953411629096e+000 -1.756448277648065e+000
    2  5.056465056988059e-001  3.831259117929540e-001  6.289036526127441e-001 -4.551112724830006e-001
    3  1.734254663439656e+000  1.514061441488458e+000  8.883862056006947e-001 -6.946159060711935e+000
    4  2.825400044072996e+000  2.732967568808998e+000  1.098938542317440e+001  3.820813604935168e+001
    5  1.841868494738584e+000  1.962774696207565e+000  4.173023177049011e+001 -1.513164834905646e+002
    6 -3.461582628318018e-001  2.926538395935968e-001 -1.582434237737624e+000 -1.366072511007537e+000
    7 -6.625546633670552e-002 -7.723735861812192e-002  1.878972699157171e-001  2.145257878213350e+000
    8 -3.246074000747090e-001 -4.502668189914749e-001 -1.259813179555201e+001 -4.530802987999305e-001
    9 -7.847000269136867e-001 -1.051146077535523e+000 -8.446106073939120e+000  1.387120231388101e+002
   10 -6.213072811563044e-001 -9.733198004052737e-001  4.523576666171913e+000 -5.000804645964475e+002
   11 -3.653463800392283e-002  3.842110644260172e-002 -1.514034068819919e+000 -1.737589830430633e+000
   12 -3.315185314582726e-001  4.973612730649120e-001 -1.196258460789214e+000 -3.642131008123760e+001
   13 -1.149828189727593e+000  1.730379026865043e+000  1.042295489530470e+002  3.141687427558050e+001
   14 -1.150613143000051e+000  2.094970566911351e+000  7.058650489550418e+001 -7.632926520981345e+002
   15 -2.622123492590003e-001  1.441824379452222e-001  1.370728552057930e+001  1.327563476856184e+001
   16 -1.629762789471865e+000  6.796217824900913e-001 -1.390731531656108e+000  2.373412832601153e+002
   17 -2.406014396971797e+000  7.392219411895629e-001 -2.632063206236384e+002 -1.927863971081449e+002
   18 -7.930660562056148e-001 -3.986222306499849e-001 -6.396694249623437e+001 -5.793465884760364e+001
   19 -2.557090088796912e+000 -1.212429799663752e+000  2.227822362947136e+001 -5.804108926151580e+002
   20 -7.131327290697528e-001 -1.320779424001734e+000  1.139387067211632e+002  9.284897532072687e+001
