  F110W:  GWA_OTE
    n  xForwardCoefficients_ote   yForwardCoefficients_ote   xBackwardCoefficients_ote  yBackwardCoefficients_ote
    0  2.236749297204348e-002 -1.071123609109644e-001  1.889682590233553e-001 -1.581969551032651e-001
    1 -2.219415046828006e-001 -2.865763913942299e-001  1.458457169334688e+000 -1.701677762135479e+000
    2  5.111166359206293e-001  4.206478281150936e-001  3.174455768654392e-001  3.675835085877152e-001
    3  1.741949832069086e+000  1.643471218404098e+000  2.188465492557128e-002  2.753012152349386e-001
    4  2.835008073561585e+000  2.941429067542221e+000  9.166085974390098e+000  8.483085906243582e+001
    5  1.867310107487538e+000  2.077349088738025e+000 -7.321741579194728e-001 -3.764374553831180e+001
    6 -3.490793631394630e-001  2.964866457115878e-001 -1.627536215844372e+000 -1.438799925764746e+000
    7 -1.154402640690137e-001 -3.885388803395678e-002  2.791674994317376e-001  2.653817461153528e-001
    8 -5.600266229194477e-001 -2.363001816863765e-001 -3.064699534594343e+000 -2.336220631815535e+001
    9 -1.298775909527305e+000 -5.205120443987636e-001  6.156924567803226e+000  1.295290715715238e+001
   10 -1.049911432048700e+000 -4.882110977948812e-001 -1.955808533779552e+001 -8.790817874475069e+002
   11 -1.466848207352965e-002  2.387378530844288e-003 -5.260600846638788e-001 -4.377587020172847e-001
   12 -9.716693010989777e-002  1.066275575982224e-001 -1.752964983742059e+000 -1.041972158355418e+001
   13 -3.327459528927891e-001  3.850810563534254e-001  9.483364263161100e+000  2.371214757719570e+002
   14 -2.100776599515427e-001  6.069917147742986e-001 -2.095644867174848e+001 -2.325256399984927e+002
   15 -3.623191329836206e-002  1.178106524531985e-001  4.483423998718380e+000  8.615253151835942e-001
   16 -3.139239628308492e-002  7.050670768250511e-001 -2.633180221654418e+000  8.090412750352003e+001
   17  2.374894156668605e-001  9.250248960954820e-001  1.906022439535056e+001 -7.917544867198631e+002
   18 -7.325122971248629e-001 -7.741336230507506e-001 -2.191474222058992e+001  4.458312436118883e-001
   19 -2.401751141374969e+000 -2.365136843398343e+000  2.454688938285466e+001 -2.337635621039510e+002
   20  9.234681665998266e-001  1.167255575657417e+000  3.641091900569492e+001 -1.555946134560187e+001
