  F140X:  GWA_OTE
    n  xForwardCoefficients_ote   yForwardCoefficients_ote   xBackwardCoefficients_ote  yBackwardCoefficients_ote
    0  2.245133232101715e-002 -1.074998003137544e-001  1.877871721607098e-001 -1.600753568676228e-001
    1 -2.219805944940625e-001 -2.930622315207779e-001  1.454964202187393e+000 -1.756429952400448e+000
    2  5.055507273221478e-001  3.831235359470909e-001  6.288084955346399e-001 -4.549320050556683e-001
    3  1.734045103940647e+000  1.514163228759561e+000  8.890491436654759e-001 -6.942983522500714e+000
    4  2.825134265704936e+000  2.733201340416289e+000  1.099118949818408e+001  3.822491095604299e+001
    5  1.841717787720070e+000  1.962936445551589e+000  4.173949174400982e+001 -1.513083961141334e+002
    6 -3.461613550720998e-001  2.926539069164446e-001 -1.582393005963925e+000 -1.366049257015171e+000
    7 -6.632067384462091e-002 -7.721497844527724e-002  1.881383378020166e-001  2.144254906312459e+000
    8 -3.248321077362412e-001 -4.502417128137693e-001 -1.259547876453902e+001 -4.625585702771269e-001
    9 -7.851114209638623e-001 -1.051157551074087e+000 -8.469312649712910e+000  1.386727560366732e+002
   10 -6.216268273914969e-001 -9.733338922209317e-001  4.511398365004098e+000 -5.002301870081137e+002
   11 -3.655240952203034e-002  3.839756335799390e-002 -1.514830131735764e+000 -1.737882868333321e+000
   12 -3.316035381062331e-001  4.972267221586425e-001 -1.198106950479942e+000 -3.641145016217626e+001
   13 -1.150029250506475e+000  1.730011266792821e+000  1.042089810125113e+002  3.150702269320899e+001
   14 -1.150832592085846e+000  2.094542552206034e+000  7.069052781420238e+001 -7.631394928999764e+002
   15 -2.622786127902110e-001  1.441959148042030e-001  1.371259017526723e+001  1.327655229874113e+001
   16 -1.629995961604894e+000  6.795298698988954e-001 -1.384710152777956e+000  2.372924867192437e+002
   17 -2.406399548310364e+000  7.390137800368615e-001 -2.631373099299954e+002 -1.930511564974031e+002
   18 -7.932675885888876e-001 -3.985440048130289e-001 -6.398730631915774e+001 -5.793842016662715e+001
   19 -2.557830304534640e+000 -1.212305983891287e+000  2.226702144954692e+001 -5.803162342290178e+002
   20 -7.125103324984898e-001 -1.319960966411750e+000  1.139740122433432e+002  9.285973581360710e+001
