  491 detector / GWA
    n  xForwardCoefficients_det   yForwardCoefficients_det   xBackwardCoefficients_det  yBackwardCoefficients_det
    0 -1.335051925295299e-001  2.285076105833461e-001  2.110994682267335e+003 -3.511398555141137e+003
    1 -1.207343817342956e-006  6.468905611425809e-005  6.692875368089062e+002  1.352876889389285e+004
    2 -2.695606582058400e-010  1.021731872368316e-009 -6.620424813224720e+003  2.199750173439797e+004
    3  1.773717374972920e-014  1.381689582734364e-013  2.654176067622048e+004 -8.599555246786130e+004
    4  1.120185488143106e-017 -4.265477768230494e-017 -4.971604908019798e+004  1.394273596402603e+005
    5 -3.484314756691199e-021  7.287947163043504e-021  3.530255234143558e+004 -8.968745592316528e+004
    6  6.374965220661204e-005 -1.288764104791990e-006  1.620678168998016e+004  5.794972983903301e+001
    7  7.166946403335982e-010 -3.563074886335343e-010  2.533544178975854e+003  5.790494242216702e+001
    8  1.122724542809673e-013  9.434169520265573e-015 -2.251811288698492e+004  6.596930276238350e+002
    9 -9.412558289259006e-018  4.233103348493975e-018  3.881227242907816e+004 -3.426338036261557e+003
   10  2.611842652353542e-021 -8.640642910275581e-022 -2.880288838715471e+004  3.986063260836866e+003
   11 -5.490442776093234e-010  1.984722146975420e-010  1.192184574623926e+002  6.756718983216082e+002
   12  1.163483482416562e-014  6.827837350335525e-014 -4.441064141016789e+002 -1.017141842187302e+004
   13 -2.206371636100523e-018  1.828103859752264e-018 -1.173620366517127e+003  1.289885040693563e+004
   14 -3.556258611342336e-022 -2.083789685035681e-022  3.742644292851634e+003 -1.692259806415692e+003
   15  6.205019052261540e-014  1.659276147714434e-014 -8.305692945839641e+003  1.216426690079337e+003
   16  3.827908686907194e-019  5.620174612979820e-018  8.937049429012048e+003 -9.868133196984254e+003
   17  3.100931511002329e-022 -1.150260737400462e-021  2.667728274075349e+002  1.942501853867891e+004
   18  8.577059901546396e-018 -2.308952002813288e-018 -3.861405618885556e+003  1.669233731797223e+003
   19 -2.750858041954083e-022 -5.784675105888789e-022  1.288235764749166e+004  6.600106354751711e+003
   20 -8.526409029594298e-022  6.990594160074841e-023  1.478175459306443e+004  1.729496097325768e+003
