  CLEAR:  GWA_OTE
    n  xForwardCoefficients_ote   yForwardCoefficients_ote   xBackwardCoefficients_ote  yBackwardCoefficients_ote
    0  2.236632352264963e-002 -1.071145140863344e-001  1.889646742347597e-001 -1.582020138916932e-001
    1 -2.219274037733174e-001 -2.865739798699370e-001  1.458418936084476e+000 -1.701670182898973e+000
    2  5.112062293910673e-001  4.206627726979021e-001  3.175293714529243e-001  3.673187876659500e-001
    3  1.742150848097497e+000  1.643425536672223e+000  2.174963756908112e-002  2.719965782514113e-001
    4  2.835280434944888e+000  2.941312207347171e+000  9.164640913012573e+000  8.480361184112711e+001
    5  1.867476205816629e+000  2.077276482538513e+000 -7.274208810256204e-001 -3.764609438254287e+001
    6 -3.490794791524652e-001  2.964914962444171e-001 -1.627548177689677e+000 -1.438809215714579e+000
    7 -1.153454141324784e-001 -3.887250707341813e-002  2.791153671065572e-001  2.663735873455592e-001
    8 -5.596326369266483e-001 -2.363182927244831e-001 -3.067727302131638e+000 -2.334965195797695e+001
    9 -1.297955461604459e+000 -5.205049281717302e-001  6.168282362151423e+000  1.299616119613917e+001
   10 -1.049235653405007e+000 -4.882103186927320e-001 -1.954242450735947e+001 -8.788389602308514e+002
   11 -1.464592258809551e-002  2.405024154515623e-003 -5.252806288780909e-001 -4.373297882222839e-001
   12 -9.702846818776220e-002  1.067077508162362e-001 -1.753692620060866e+000 -1.042931929374023e+001
   13 -3.323322256869163e-001  3.853074945973686e-001  9.509149582357603e+000  2.370058655035699e+002
   14 -2.095981807398269e-001  6.072903125221066e-001 -2.100492123548171e+001 -2.326950305417575e+002
   15 -3.614441509930398e-002  1.178194886403181e-001  4.477723697949277e+000  8.592217707446516e-001
   16 -3.094342356888482e-002  7.052651364458412e-001 -2.623121873921924e+000  8.095185845658261e+001
   17  2.382767080265025e-001  9.253883003998485e-001  1.897660585982337e+001 -7.914213470680221e+002
   18 -7.323519624596151e-001 -7.741504132124468e-001 -2.189069860217650e+001  4.573607425527612e-001
   19 -2.401116849418116e+000 -2.365034651516106e+000  2.452019240000637e+001 -2.338563902148829e+002
   20  9.229628715948682e-001  1.166555790474853e+000  3.636710390004076e+001 -1.558598265938108e+001
