  F140X:  GWA_OTE
    n  xForwardCoefficients_ote   yForwardCoefficients_ote   xBackwardCoefficients_ote  yBackwardCoefficients_ote
    0  2.236556071588722e-002 -1.071143781526744e-001  1.889653154996551e-001 -1.582004380780489e-001
    1 -2.219474055935507e-001 -2.865803119640072e-001  1.458429688346401e+000 -1.701648404077334e+000
    2  5.111099939163644e-001  4.206588312944513e-001  3.174093865351035e-001  3.675562270715399e-001
    3  1.741940216376307e+000  1.643521960578971e+000  2.234259852556731e-002  2.756330022601491e-001
    4  2.835013050940893e+000  2.941537212000249e+000  9.166381942095622e+000  8.482346710366977e+001
    5  1.867324074269407e+000  2.077432963733163e+000 -7.207921128082312e-001 -3.763090988351660e+001
    6 -3.490824476733033e-001  2.964915701067320e-001 -1.627510386627173e+000 -1.438790677087667e+000
    7 -1.154092150211173e-001 -3.885040557621384e-002  2.793574441253822e-001  2.652468229714248e-001
    8 -5.598512850085621e-001 -2.362959681384904e-001 -3.064351383462065e+000 -2.336071522292254e+001
    9 -1.298354731482843e+000 -5.205246488374427e-001  6.146428641644388e+000  1.294868056726214e+001
   10 -1.049546179767499e+000 -4.882329467578269e-001 -1.955568102688036e+001 -8.790146881381637e+002
   11 -1.466362730999968e-002  2.381885944719061e-003 -5.260173442527650e-001 -4.375338749909317e-001
   12 -9.711391648576979e-002  1.065778746180044e-001 -1.755528234041676e+000 -1.041778015008443e+001
   13 -3.325360142394140e-001  3.849540651260779e-001  9.482096409031056e+000  2.371101150678426e+002
   14 -2.098226320292999e-001  6.068760544863631e-001 -2.090852682647908e+001 -2.325062202363608e+002
   15 -3.621265452164785e-002  1.178340802840281e-001  4.482527271566131e+000  8.593019894418660e-001
   16 -3.119294837603299e-002  7.051787271344544e-001 -2.617082746356265e+000  8.089306210771873e+001
   17  2.378607003997110e-001  9.251878448361093e-001  1.906370355496778e+001 -7.917270408292565e+002
   18 -7.325517751900924e-001 -7.740667089748841e-001 -2.190890758501342e+001  4.574760840054194e-001
   19 -2.401844564218179e+000 -2.364884055492849e+000  2.450815806093294e+001 -2.337396681748073e+002
   20  9.235734972549654e-001  1.167348092923517e+000  3.639861166597347e+001 -1.558230492928269e+001
